Region,Type,Nature,Highest Price Month,Lowest Price Month,Highest Price,Lowest Price
Monastir,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Monastir,App. 1 pièc,Location,March,April,521676.05903310573,310308.0805972307
Cite El Bassati,Surfaces,Vente,February,February,511238.2649639356,385959.4082204523
Bab Bhar,Fond de Com,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
El Aroussa,Terrain agr,Terrain,March,April,521676.05903310573,310308.0805972307
Montplaisir,Surfaces,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
Sfax,App. 2 pièc,Vente,March,March,521676.05903310573,335467.2110650256
Cite Des Olivie,App. 3 pièc,Location,February,February,511238.2649639356,385959.4082204523
La Mannouba,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Le Bardo,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Kelibia,Autre,Vente,March,March,521676.05903310573,335467.2110650256
Mornag,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Marsa Safsaf,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Marsa Safsaf,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
La Mannouba,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Tlelsa,Terrain agr,Terrain,February,February,511238.2649639356,385959.4082204523
Hammamet,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Rtiba,Terrain agr,Terrain,March,April,521676.05903310573,310308.0805972307
Hammam El Gheza,Terrain agr,Terrain,March,May,521676.05903310573,274550.28580589977
Nabeul,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Montplaisir,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Village Mediter,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
El Aouina,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
Cite El Moustak,Surfaces,Location,February,February,511238.2649639356,385959.4082204523
Riadh Landlous,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Residence Jinen,App. 4 pièc,Vente,February,February,511238.2649639356,385959.4082204523
Grombalia,Autre,Vente,March,May,521676.05903310573,274550.28580589977
Residence Jinen,App. 4 pièc,Location,February,February,511238.2649639356,385959.4082204523
La Mannouba,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Menzel Temime,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
Berge Du Lac,Surfaces,Vente,March,May,521676.05903310573,274550.28580589977
La Mannouba,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Kalaa El Kebira,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Hammam Sousse,App. 2 pièc,Location,March,April,521676.05903310573,310308.0805972307
Cite De La Plag,Surfaces,Location,March,April,521676.05903310573,310308.0805972307
Riadh Landlous,Surfaces,Location,March,April,521676.05903310573,310308.0805972307
Kelibia,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Lebna,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Kelibia,Surfaces,Vente,March,April,521676.05903310573,310308.0805972307
Hammam Sousse,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Republique,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Bizerte,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
La Soukra,Surfaces,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
Bab Bhar,Autre,Vente,March,May,521676.05903310573,274550.28580589977
Raoued,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Merkez Derouich,Terrain nu,Terrain,February,February,511238.2649639356,385959.4082204523
Riadh Landlous,Duplex,Vente,March,April,521676.05903310573,310308.0805972307
Cite Ennasr 2,App. 2 pièc,Vente,March,May,521676.05903310573,274550.28580589977
La Soukra,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Republique,Gérance lib,Bureaux & Commer,March,April,521676.05903310573,310308.0805972307
Gabes El Menara,Autre,Vente,February,February,511238.2649639356,385959.4082204523
Ben Arous,Surfaces,Location,March,April,521676.05903310573,310308.0805972307
Ben Arous Sud,Surfaces,Location,March,May,521676.05903310573,274550.28580589977
Ariana,Bureau,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
Ain Zaghouan,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Fouchana,App. 4 pièc,Vente,February,February,511238.2649639356,385959.4082204523
Cite Ennasr 2,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Chatt Meriem,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
El Menzah 1,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Ariana,Surfaces,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
La Soukra,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Hammamet,Maisons,Location vacance,March,May,521676.05903310573,274550.28580589977
Hammamet,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Ezzahra,Terrain agr,Terrain,March,May,521676.05903310573,274550.28580589977
Hammamet,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Hammamet,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Ben Arous,Autre,Vente,March,April,521676.05903310573,310308.0805972307
Ksibet Sousse,Terrain nu,Terrain,March,March,521676.05903310573,335467.2110650256
Khezama Ouest,Duplex,Vente,February,February,511238.2649639356,385959.4082204523
Hergla,Terrain agr,Terrain,March,April,521676.05903310573,310308.0805972307
Jardins d'el Me,App. 4 pièc,Vente,March,May,521676.05903310573,274550.28580589977
