Region,Nature,Type,Text,Price,Modified Date
Gammart,Location,Maisons,Villa de charme vide,4 500,05/05/2024
Gammart,Location,App. 4 pièc,Un joli appartement,5 000,05/05/2024
Gammart,Location,Maisons,Belle villa à gammar,5 000,05/05/2024
El Mourouj,Vente,App. 4 pièc,Appartement  s3 haut sta,290 000,05/05/2024
El Mourouj,Location,App. 4 pièc,Étage de villa mourouj 3,750,05/05/2024
Cite El Khalij,Vente,Maisons,Maison hbiba,125 000,05/05/2024
Bou Mhel,Terrain,Terrain agr,Av terrain 150 m2 à boumhal b,52 500,05/05/2024
El Mourouj,Location,Surfaces,Al local commercial à mourouj,3 000,05/05/2024
Bou Mhel,Vente,Maisons,Av belle villa à boumhal bass,520 000,05/05/2024
Riadh Landlous,Terrain,Terrain nu,Offre terrain viabilisé,590 000,05/05/2024
Bou Mhel,Vente,Autre,Affaire commerciale,1 550 000,05/05/2024
Cite Ennasr 2,Vente,App. 2 pièc,App à ennasser,250 000,05/05/2024
Ben Arous,Location,App. 3 pièc,Appartement s2 haut stan,750,05/05/2024
Bou Jerdga,Terrain,Terrain nu,Terrain bou jerdga,85 000,05/05/2024
Cite Afh,Location vacance,App. 2 pièc,App s1 hs au rdc ouvre s,1 000,05/05/2024
Hammamet,Location vacance,App. 3 pièc,App s2 hs au rdc à afh m,1 000,05/05/2024
El Mourouj,Vente,Maisons,Villa indépendante à mou,480 000,05/05/2024
Le Bardo,Vente,Maisons,Maison henda bardo,750 000,05/05/2024
El Mourouj,Location,App. 4 pièc,Appartement ikram mourouj 6,900,05/05/2024
Hedi Chaker,Location,Surfaces,Pour tt activité  bureautique,2 400,05/05/2024
El Charguia,Vente,Autre,U s i n e   ter 2883m2  couve,4 200 000,05/05/2024
Sousse,Location,App. 3 pièc,Un luxueux appart richem,1 800,05/05/2024
Nouvelle Ariana,Location,Maisons,Etage de villa bien plac,1 300,05/05/2024
Naassen,Vente,Maisons,Maison naassen,240 000,05/05/2024
El Mourouj,Vente,Duplex,Duplex mourouj 1,570 000,05/05/2024
Nouvelle Ariana,Location,Maisons,Etage de villa bien plac,1 300,05/05/2024
Naassen,Vente,Maisons,Maison naassen,240 000,05/05/2024
El Mourouj,Vente,Duplex,Duplex mourouj 1,570 000,05/05/2024
Cite Mongi Slim,Terrain,Terrain nu,Terrain mhamdia,130 000,05/05/2024
Berge Du Lac,Location,App. 5 pièc,S4meublé neuf proche lac,2 300,05/05/2024
El Aouina,Location,App. 3 pièc,Cité wehat s2meublé très,1 300,05/05/2024
Cite Ennasr 2,Location,App. 2 pièc,Très propre s1 meublé po,1 200,05/05/2024
Soliman,Location,App. 2 pièc,Appartement meublé a sol,450,05/05/2024
Soliman,Location,Surfaces,Surface a l étage dispon,800,05/05/2024
Soliman,Location,App. 2 pièc,Appartement  meublé et n,390,05/05/2024
Le Bardo,Location,App. 4 pièc,Un étage de villa à ne p,800,05/05/2024
Kelibia,Location vacance,App. 2 pièc,S 1 ain grenz trés haut,220,05/05/2024
Cite Ennasr 2,Vente,Maisons,Villa située en face du clini,3 000 000,05/05/2024
Sidi Daoud,Location,Autre,Usage bureau,2 000,05/05/2024
Ariana Essoughr,Location,App. 2 pièc,S 2 meublé,1 000,05/05/2024
La Mannouba,Location,Maisons,Maison s plus 2  manouba,500,05/05/2024
El Maamoura,Vente,Surfaces,Au bord de la mer,300 000,05/05/2024
La Mannouba,Location,Maisons,Studio bien meublée,650,05/05/2024
Nabeul,Terrain,Terrain nu,Terrain 470m à cité mora,540 500,05/05/2024
Jebel El Oust,Terrain,Terrain agr,Une belle ferme 28km de,750 000,05/05/2024
La Mannouba,Location,Maisons,2éme étage d'une maison,500,05/05/2024
El Mourouj,Vente,Maisons,Villa haute standing mou,850 000,05/05/2024
Boucha,Terrain,Terrain agr,Paysage paronamique 8 he,750 000,05/05/2024
Sminja,Terrain,Terrain agr,2hectare oliviers à smin,185 000,05/05/2024
La Mannouba,Terrain,Terrain nu,Terrain titrée près l'arrêt m,20 000,05/05/2024
Fouchana,Vente,Maisons,Villa de standing,600 000,05/05/2024
La Mannouba,Vente,Maisons,2 maison séparée sur la,500 000,05/05/2024
Cite Afh,Location vacance,App. 1 pièc,S1 meublé afh mrezga,n.d,05/05/2024
Ezzahra,Location,App. 3 pièc,Jeune couple avec un enfant c,n.d,05/05/2024
